Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:12.C1,"urn:cite:hmt:vaimg.VA155VN-0657@0.716,0.2467,0.0755,0.0101",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C2,"urn:cite:hmt:vaimg.VA155VN-0657@0.5269,0.2875,0.0372,0.0082",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C3,"urn:cite:hmt:vaimg.VA155VN-0657@0.715,0.2848,0.0724,0.0133",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C4,"urn:cite:hmt:vaimg.VA155VN-0657@0.8343,0.3038,0.1001,0.0096",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C5,"urn:cite:hmt:vaimg.VA155VN-0657@0.5788,0.3242,0.0541,0.0086",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C6,"urn:cite:hmt:vaimg.VA155VN-0657@0.8699,0.3341,0.0627,0.017",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C7,"urn:cite:hmt:vaimg.VA155VN-0657@0.664,0.3805,0.1071,0.0107",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C8,"urn:cite:hmt:vaimg.VA155VN-0657@0.8964,0.4239,0.0098,0.0072",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C9,"urn:cite:hmt:vaimg.VA155VN-0657@0.5267,0.4414,0.079,0.0092",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C10,"urn:cite:hmt:vaimg.VA155VN-0657@0.7413,0.5137,0.1219,0.009",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C11,"urn:cite:hmt:vaimg.VA155VN-0657@0.859,0.5317,0.0249,0.01",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C12,"urn:cite:hmt:vaimg.VA155VN-0657@0.71,0.61,0.0822,0.0097",urn:cite:hmt:msAil.155v
urn:cts:greekLit:tlg5026.msAil.hmt:12.C13,"urn:cite:hmt:vaimg.VA155VN-0657@0.7175,0.6641,0.0588,0.0097",urn:cite:hmt:msAil.155v
