Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.51,"urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.2261,0.4414,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.52, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.2494,0.4154,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.53, "urn:cite:hmt:vaimg.VA155VN-0657@0.5045,0.2712,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.54, "urn:cite:hmt:vaimg.VA155VN-0657@0.5055,0.2893,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.55, "urn:cite:hmt:vaimg.VA155VN-0657@0.5045,0.3088,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.56, "urn:cite:hmt:vaimg.VA155VN-0657@0.4925,0.3261,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.57, "urn:cite:hmt:vaimg.VA155VN-0657@0.4985,0.3449,0.4384,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.58, "urn:cite:hmt:vaimg.VA155VN-0657@0.5005,0.3636,0.4384,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.59, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.3839,0.4384,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.60, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.4005,0.4474,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.61, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.42,0.4474,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.62, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.441,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.63, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.4576,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.64, "urn:cite:hmt:vaimg.VA155VN-0657@0.4945,0.4786,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.65, "urn:cite:hmt:vaimg.VA155VN-0657@0.4965,0.4951,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.66, "urn:cite:hmt:vaimg.VA155VN-0657@0.4735,0.5184,0.4144,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.67, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.5304,0.4354,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.68, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.5522,0.4354,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.69, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.5695,0.4354,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.70, "urn:cite:hmt:vaimg.VA155VN-0657@0.4975,0.5905,0.4394,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.71, "urn:cite:hmt:vaimg.VA155VN-0657@0.4875,0.6071,0.4074,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.72, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.6319,0.4424,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.73, "urn:cite:hmt:vaimg.VA155VN-0657@0.4965,0.6484,0.4424,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.74, "urn:cite:hmt:vaimg.VA155VN-0657@0.4855,0.6657,0.4424,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.75, "urn:cite:hmt:vaimg.VA155VN-0657@0.4915,0.686,0.4424,0.0233"

urn:cts:greekLit:tlg0012.tlg001.msA:12.126, "urn:cite:hmt:vaimg.VA157RN-0328@0.1782,0.2066,0.4034,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.127, "urn:cite:hmt:vaimg.VA157RN-0328@0.1782,0.2269,0.4034,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.128, "urn:cite:hmt:vaimg.VA157RN-0328@0.1762,0.2464,0.3854,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.129, "urn:cite:hmt:vaimg.VA157RN-0328@0.1782,0.2652,0.3854,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.130, "urn:cite:hmt:vaimg.VA157RN-0328@0.1752,0.281,0.3303,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.131, "urn:cite:hmt:vaimg.VA157RN-0328@0.1742,0.2983,0.3804,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.132, "urn:cite:hmt:vaimg.VA157RN-0328@0.1732,0.3163,0.3904,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.133, "urn:cite:hmt:vaimg.VA157RN-0328@0.1722,0.3366,0.3904,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.134, "urn:cite:hmt:vaimg.VA157RN-0328@0.1722,0.3576,0.3904,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.135, "urn:cite:hmt:vaimg.VA157RN-0328@0.1722,0.3764,0.3904,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.136, "urn:cite:hmt:vaimg.VA157RN-0328@0.1712,0.3937,0.4164,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:12.137, "urn:cite:hmt:vaimg.VA157RN-0328@0.1572,0.414,0.4354,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.138, "urn:cite:hmt:vaimg.VA157RN-0328@0.1732,0.4335,0.3964,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.139, "urn:cite:hmt:vaimg.VA157RN-0328@0.1532,0.4515,0.4454,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.140, "urn:cite:hmt:vaimg.VA157RN-0328@0.1642,0.4703,0.4254,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.141, "urn:cite:hmt:vaimg.VA157RN-0328@0.1662,0.4869,0.3784,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.142, "urn:cite:hmt:vaimg.VA157RN-0328@0.1622,0.5041,0.4044,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.143, "urn:cite:hmt:vaimg.VA157RN-0328@0.1672,0.5274,0.4184,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.144, "urn:cite:hmt:vaimg.VA157RN-0328@0.1502,0.547,0.4344,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.145, "urn:cite:hmt:vaimg.VA157RN-0328@0.1632,0.5627,0.4214,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:12.146, "urn:cite:hmt:vaimg.VA157RN-0328@0.1632,0.5823,0.3994,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.147, "urn:cite:hmt:vaimg.VA157RN-0328@0.1652,0.6041,0.4284,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.148, "urn:cite:hmt:vaimg.VA157RN-0328@0.1622,0.6198,0.3974,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.149, "urn:cite:hmt:vaimg.VA157RN-0328@0.1592,0.6401,0.4364,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.150, "urn:cite:hmt:vaimg.VA157RN-0328@0.1652,0.6589,0.4364,0.0255"

